City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Descp
32,Mehamn,NO,71.04,27.85,35.6,74,75,21.92,broken clouds
33,Nanortalik,GL,60.14,-45.24,29.79,92,99,4.63,overcast clouds
34,Mahebourg,MU,-20.41,57.7,69.8,52,40,16.11,shower rain
35,Felanitx,ES,39.47,3.15,69.8,77,20,8.05,few clouds
36,Vaini,TO,-21.2,-175.2,71.6,78,20,11.41,few clouds
37,Sechura,PE,-5.56,-80.82,70.47,66,100,8.84,overcast clouds
38,Provideniya,RU,64.38,-173.3,24.57,91,96,5.37,overcast clouds
39,Marsa Matruh,EG,31.35,27.25,73.18,65,22,10.16,few clouds
40,Esqueda,MX,30.72,-109.58,59.27,34,7,5.08,clear sky
41,Taltal,CL,-25.4,-70.48,65.17,54,8,7.72,clear sky
42,Ko Samui,TH,9.54,99.94,82.78,72,85,4.23,overcast clouds
43,Mandan,US,46.83,-100.89,35.6,100,90,8.05,fog
44,Sarankhola,BD,22.31,89.79,78.01,81,100,3.02,overcast clouds
45,Nikolskoye,RU,59.7,30.79,48.0,87,40,6.71,fog
46,Lavrentiya,RU,65.58,-171.0,21.33,87,86,7.43,overcast clouds
47,Pavlogradka,RU,54.2,73.56,32.29,98,45,6.78,scattered clouds
48,Kandrian,PG,-6.22,149.55,77.54,87,85,5.06,light rain
49,Nsanje,MW,-16.92,35.26,93.36,26,46,7.72,scattered clouds
50,Faanui,PF,-16.48,-151.75,78.96,80,0,11.21,light rain
51,Avarua,CK,-21.21,-159.78,71.6,88,100,8.05,overcast clouds
52,Kapaa,US,22.08,-159.32,66.2,88,40,6.93,scattered clouds
53,Atuona,PF,-9.8,-139.03,77.34,73,30,12.97,scattered clouds
54,Baran,IN,25.1,76.52,72.28,22,0,2.82,clear sky
55,Marinette,US,45.1,-87.63,32.0,77,90,11.41,overcast clouds
56,Tasiilaq,GL,65.61,-37.64,33.8,86,75,3.36,light shower snow
57,Le Port,RE,-20.94,55.29,69.8,52,75,27.51,broken clouds
58,Hobart,AU,-42.88,147.33,46.4,87,12,5.82,few clouds
59,La Ronge,CA,55.1,-105.28,20.28,93,100,10.18,overcast clouds
60,Berdigestyakh,RU,62.1,126.7,-4.76,90,92,3.42,overcast clouds
61,Kota Belud,MY,6.35,116.43,78.8,88,20,5.82,few clouds
62,Ribeira Grande,PT,38.52,-28.7,69.8,88,75,24.16,broken clouds
63,Aden,YE,12.78,45.04,82.94,78,0,14.09,clear sky
64,Neyshabur,IR,36.21,58.8,53.6,25,0,3.4,clear sky
65,Vila Franca Do Campo,PT,37.72,-25.43,69.8,94,75,16.11,broken clouds
66,Codrington,AU,-38.27,141.97,50.86,88,0,10.16,clear sky
67,Ketchikan,US,55.34,-131.65,44.6,75,40,8.05,scattered clouds
68,Souillac,MU,-20.52,57.52,69.8,52,40,16.11,shower rain
69,Punta Arenas,CL,-53.15,-70.92,53.01,66,75,31.09,broken clouds
70,Butaritari,KI,3.07,172.79,81.66,78,97,17.07,light rain
71,Hofn,IS,64.25,-15.21,42.8,81,20,2.24,few clouds
72,Luderitz,NA,-26.65,15.16,68.02,43,59,33.42,broken clouds
73,Nouadhibou,MR,20.93,-17.03,75.2,64,0,17.22,clear sky
74,Fredericton,CA,45.95,-66.67,33.01,55,99,1.99,overcast clouds
75,Ekhabi,RU,53.51,142.97,32.47,94,84,3.31,broken clouds
76,Hithadhoo,MV,-0.6,73.08,83.55,74,0,8.97,clear sky
77,Khatanga,RU,71.97,102.5,-8.84,84,0,5.7,clear sky
78,Bonavista,CA,48.65,-53.11,37.0,57,52,13.0,broken clouds
79,Thompson,CA,55.74,-97.86,15.04,90,25,3.27,scattered clouds
80,Herat,AF,34.5,62.0,48.2,19,0,8.05,clear sky
81,Sorland,NO,67.67,12.69,41.0,60,0,23.04,clear sky
82,Port Elizabeth,ZA,-33.92,25.57,64.4,52,0,8.05,clear sky
83,Longyearbyen,SJ,78.22,15.64,17.6,67,0,3.36,clear sky
84,Esmeraldas,BR,-19.76,-44.31,82.4,54,75,6.93,broken clouds
85,Pevek,RU,69.7,170.31,23.31,92,78,7.54,broken clouds
86,Yabassi,CM,4.46,9.97,86.0,79,40,4.7,scattered clouds
87,Shenjiamen,CN,29.96,122.3,62.11,68,0,10.13,clear sky
88,Hasaki,JP,35.73,140.83,46.4,75,0,4.7,clear sky
89,Port Alfred,ZA,-33.59,26.89,63.05,54,89,5.17,overcast clouds
90,Kavaratti,IN,10.57,72.64,82.87,72,61,8.9,broken clouds
91,Necochea,AR,-38.55,-58.74,63.75,38,38,2.37,scattered clouds
92,Airai,TL,-8.93,125.41,61.56,99,54,1.25,broken clouds
93,Kushalgarh,IN,23.2,74.45,76.28,30,0,6.44,clear sky
94,Whitecourt,CA,54.15,-115.69,33.08,93,100,3.42,overcast clouds
95,Sao Joao Da Barra,BR,-21.64,-41.05,82.4,74,75,2.24,broken clouds
96,Quelimane,MZ,-17.88,36.89,82.4,74,20,14.99,few clouds
97,Ostrovnoy,RU,68.05,39.51,34.43,89,63,19.98,broken clouds
98,Hamilton,US,39.18,-84.53,46.99,70,75,12.75,broken clouds
99,Pangnirtung,CA,66.15,-65.71,8.71,83,32,0.34,scattered clouds
100,Tabou,CI,4.42,-7.35,82.04,75,14,7.61,light rain
101,Karratha,AU,-20.74,116.85,76.37,59,4,10.11,clear sky
102,Carnarvon,AU,-24.87,113.63,73.4,78,90,10.29,overcast clouds
103,Norman Wells,CA,65.28,-126.83,8.28,93,96,4.27,overcast clouds
104,Coihaique,CL,-45.58,-72.07,59.0,47,0,3.36,clear sky
105,Bengkulu,ID,-3.8,102.27,76.51,87,100,4.27,light rain
106,The Valley,AI,18.22,-63.06,87.8,70,40,20.8,haze
107,Fairbanks,US,64.84,-147.72,12.0,85,90,3.36,light snow
108,Doha,QA,25.29,51.53,86.0,62,0,6.93,clear sky
109,Abu Kamal,SY,34.45,40.92,78.48,15,86,10.25,overcast clouds
110,Margate,GB,51.38,1.39,60.01,84,92,3.0,overcast clouds
111,Gainesville,US,29.65,-82.32,64.99,63,1,8.05,clear sky
112,Saint-Joseph,RE,-21.37,55.62,68.0,68,40,11.41,scattered clouds
113,Geraldton,AU,-28.77,114.6,69.8,83,40,9.17,scattered clouds
114,Dikson,RU,73.51,80.55,11.84,95,100,28.66,overcast clouds
115,San Felipe,VE,10.34,-68.74,85.78,68,97,1.83,light rain
116,Hay River,CA,60.82,-115.8,18.34,96,100,9.15,overcast clouds
117,Torbay,CA,47.67,-52.73,37.99,49,47,3.0,scattered clouds
118,Mount Isa,AU,-20.73,139.5,73.4,13,0,14.99,clear sky
119,Iqaluit,CA,63.75,-68.51,3.52,91,76,4.36,broken clouds
120,Killeen,US,31.12,-97.73,51.8,66,1,4.7,clear sky
121,Ancud,CL,-41.87,-73.82,61.0,71,0,11.41,clear sky
122,Ambulu,ID,-8.35,113.61,77.86,88,91,2.37,heavy intensity rain
123,Halifax,CA,44.65,-63.57,39.0,61,97,5.99,light rain
124,Bara,NG,10.37,10.73,93.6,28,2,2.42,clear sky
125,Catalina,US,32.51,-110.92,68.0,27,0,4.92,clear sky
126,Suining,CN,30.51,105.57,60.46,89,100,6.29,light rain
127,Sawtell,AU,-30.38,153.1,71.6,83,90,13.87,light intensity shower rain
128,Gigmoto,PH,13.78,124.39,81.07,81,94,16.13,light rain
129,Upernavik,GL,72.79,-56.15,22.26,97,100,3.91,light snow
130,Acarau,BR,-2.89,-40.12,88.12,51,30,19.44,scattered clouds
131,Cape Town,ZA,-33.93,18.42,62.6,55,0,27.51,clear sky
132,Saint-Georges,GD,12.06,-61.75,86.0,74,20,23.04,few clouds
133,Clyde River,CA,70.47,-68.59,18.46,93,98,6.08,overcast clouds
134,Dongsheng,CN,39.82,109.98,40.35,56,45,25.14,scattered clouds
135,Aketi,CD,2.74,23.78,71.65,97,100,2.86,light rain
136,Aleksandrovskoye,RU,44.71,43.0,59.0,67,2,4.47,clear sky
137,Quatre Cocos,MU,-20.21,57.76,69.8,52,40,16.11,shower rain
138,Lilongwe,MW,-13.97,33.79,80.11,31,89,8.37,overcast clouds
139,Tiksi,RU,71.69,128.87,11.66,96,100,5.95,overcast clouds
140,Bandarbeyla,SO,9.49,50.81,79.59,81,48,15.5,scattered clouds
